Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R10,4.6K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,78.546,47.898,180.0,top
R11,120,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,77.022,53.486,-90.0,top
R12,2.4k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,82.61,62.122,0.0,top
R13,2.4k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,82.61,64.662,0.0,top
R14,2.4k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,82.61,28.848,0.0,top
R15,2.4k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,82.61,31.388,0.0,top
R16,4.6k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,54.924,37.103,0.0,top
R17,56k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,69.656,27.679,90.0,bottom
R18,4.6K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,54.924,34.563,0.0,top
R19,4.6K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,78.546,33.674,180.0,top
R20,4.6K,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,78.546,44.85,0.0,top
R21,120,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,77.022,39.262,-90.0,top
RN1,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,122.4372,57.55,0.0,top
RN2,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,122.4212,47.39,0.0,top
RN3,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,122.4372,37.1792,0.0,top
RN4,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,122.4372,67.71,0.0,top
RN5,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,108.6312,57.575,0.0,top
RN6,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,108.6312,47.415,0.0,top
RN7,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,108.6312,37.287,0.0,top
RN8,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,108.6312,67.71,0.0,top
RN9,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,94.8252,57.575,0.0,top
RN10,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,94.8252,47.415,0.0,top
RN11,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,94.8252,37.287,0.0,top
RN12,CN1J4KTTD1002F,R_Array_Convex_4x0603_handsolder,94.8252,67.71,0.0,top
RS489-1,Conn_01x02_Pin,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,89.468,36.956,90.0,top
RS489-5,Conn_01x02_Pin,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,89.485,57.57,90.0,top
U1,74CB3T3245,TSSOP-20_4.4x6.5mm_P0.65mm,138.236,26.308,90.0,bottom
U2,74CB3T3245,TSSOP-20_4.4x6.5mm_P0.65mm,124.419,69.8105,270.0,bottom
U3,74CB3T3245,TSSOP-20_4.4x6.5mm_P0.65mm,110.367,69.8105,270.0,bottom
U4,74CB3T3245,TSSOP-20_4.4x6.5mm_P0.65mm,109.534,16.402,180.0,bottom
U5,74CB3T3245,TSSOP-20_4.4x6.5mm_P0.65mm,89.2825,63.911,180.0,bottom
U6,74CB3T3245,TSSOP-20_4.4x6.5mm_P0.65mm,90.738,24.784,180.0,bottom
U8,74CB3T3245,TSSOP-20_4.4x6.5mm_P0.65mm,37.906,53.74,90.0,top
U9,74HC04,SOIC-14_3.9x8.7mm_P1.27mm,62.101,60.852,0.0,top
U10,MAX3485,SOIC-8_3.9x4.9mm_P1.27mm,70.229,62.757,0.0,top
U11,74HC04,SOIC-14_3.9x8.7mm_P1.27mm,61.847,30.88,0.0,top
U12,MAX3485,SOIC-8_3.9x4.9mm_P1.27mm,69.656,32.785,0.0,top
